id,name,type,stars,location,num_of_reviews,שירות הזמן שולחן,לסילבסטר,"פתוח במוצ""ש",פתוח בשבת,מסעדה לא כשרה,קרייזי סאנדיי,Take Away,מסעדות על הים,פתוח בשישי,אזור עישון,Wi-fi,תצוגות אופנה,תערוכות,פתוח בפסח,נגישות לנכים,גישה לתחבורה ציבורית,גינה חיצונית,מסעדה כשרה למהדרין,מסעדות כשרות,קוקטייל,ערבי מחלקה,מסיבות חברה,משלוחים,ציוד הגברה,מסעדה עם חניה חינם,חדר פרטי,מסעדה לאירועים וכנסים,לוקיישן לצילום,הדרכות/סדנאות,ימי הולדת,אירועים קטנים,אירועים עד 150 איש,אפשרות ישיבה בחוץ,מסעדות עם מקרן,בר מסעדה,שירותי קייטרינג,ימי נישואין,ימי כיף,מסעדה עם חניה מוסדרת,אירועים עד 100 איש,מסעדת שף,וידיאו קונפרנס,מקום לאירועים,אירועים עד 50 איש,מסעדה עם הנחות לסטודנטים,הנחות לחיילים,עסק שומר שבת,ישיבות,טאפאס בר,מסיבות עיתונאים,ברים לאירועים,חדרי ישיבות,מזון מהיר,אירועים עד 30 איש,dog friendly,שף עד הבית,הופעות חיות,כנסים,burger club,מסיבות רווקים/רווקות,אוכל מוכן לשבת/ לקחת,אירועים מעל 300 איש,אירועי בוטיק,חתונות,ברית/בריתה,לארוחת סוכות,לראש השנה,24 שעות,"מסעדה כשרה בד""ץ",ספורט בר,מסעדה כפרית,מסעדה עם מרתף יינות,בר-סלט,מסעדה בטבע,יום המשפחה,אירועים עד 20 איש,עם סוכה,ימי גיבוש,הסדרים לעסקים מוסדות ומפעלים,מלונות ובתי הארחה,ימי עיון,אירועים עד 200 איש,מבשלת בירה,אירועים עד 10 איש,Night Life,אירועים עד 300 איש,משלוחים חינם
80323670,פרנג'ליקו - Frangelico,מסעדה אסייאתית,3,,20,,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80321825,FAZA,פאב-בר,4.5,,6,,,,1,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80138904,ביר האוס  - Beer House,מסעדת בשרים,4,"(31.9714637, 34.8060883)",16,,,,1,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80309110,ברוהאוס שף אגמון החולה - Brew house agmon,מסעדת בשרים,4.5,,17,1,1,1,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80169160,אושי אושי,מסעדה אסייאתית,2.5,"(31.9223609, 34.7909935)",4,,,,,,,1,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80215291,לה מר - La mer,מסעדה ים תיכונית,3,,4,,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80341875,קרייזי צ'יקן,מסעדה אמריקאית,5,,1,,,1,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3463950,בשרים 206,מסעדת בשרים,3,"(32.1236154, 34.8242404)",69,,1,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80141301,שרה'ס פלייס - Sara's Place,מסעדה אמריקאית,3.5,"(32.1813774, 34.8710291)",4,,,,,,,1,,,,, ,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80201192,פארוק,מסעדת בשרים,3.5,,28,,,1,,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
